source_row,nombre_ie,cod_local,cod_modular,nivel,modalidad,distrito,rei,nombre_director,estado
718,FRANKLIN DELANO ROOSEVELT,307533,0340596,secundaria,EBR,LA MOLINA,SIN REI,JORDAN KING ELIO,active
719,1213,292027,0495085,primaria,EBR,ATE,11,FLORES HUAYLINOS ROMULO OMAR,active
720,LA ALEGRIA EN EL SEÑOR,307991,0546101,secundaria,EBR,LA MOLINA,SIN REI,RAMIREZ RAMOS DE MUÑOZ CARMEN ROSA,active
721,VILLA CARITAS,307707,0601559,inicial_jard_n,EBR,LA MOLINA,SIN REI,ESPINOSA CARLIN DE BAMBAREN PATRICIA YOLANDA MARIA,active
722,VILLA CARITAS,307707,0601674,secundaria,EBR,LA MOLINA,SIN REI,ESPINOSA CARLIN DE BAMBAREN PATRICIA YOLANDA MARIA,active
723,VILLA CARITAS,307707,0601732,primaria,EBR,LA MOLINA,SIN REI,ESPINOSA CARLIN DE BAMBAREN PATRICIA YOLANDA MARIA,active
724,166 VINCENT VAN GOGH,314190,0691774,inicial_jard_n,EBR,LURIGANCHO,14,ARGUEDAS CESPEDES NORA LOURDES,active
725,1251 PERUANO SUIZO,291848,0762120,primaria,EBR,ATE,10,FERNANDEZ DAVILA RAQUEL,active
726,1254 MARIA REICHE NEWMANN,291891,0765115,primaria,EBR,ATE,6,ARTEAGA MATOS MANUEL JESUS,active
727,6088,300739,0777995,secundaria,EBR,CIENEGUILLA,1,VERA ROJAS HAYDEE LILIANA,active
728,SANTA RITA DE CASIA,314369,1040682,secundaria,EBR,LURIGANCHO,SIN REI,GUTIERREZ GALINDO FANNY,active
729,FE Y ALEGRIA 41,314519,1041631,secundaria,EBR,LURIGANCHO,16,FLORES TUPALAYA BEATRIZ GRACIELA,active
730,1268 GUSTAVO MOHME LLONA,291792,1044999,primaria,EBR,ATE,12,BONZANO CUTTI MARIA ISABEL,active
731,SAN JUAN BOSCO,293244,1045061,primaria,EBR,ATE,SIN REI,CASTRO MONCADA MARIA JESUS,active
732,1285,292683,1045392,primaria,EBR,ATE,9,VILLAVERDE ESPINOZA VLADIMIR,active
733,1263 PURUCHUCO,291612,1045756,secundaria,EBR,ATE,6,FERNANDEZ CUICAPUSA RAFAEL,active
734,1213,292027,1065069,secundaria,EBR,ATE,11,FLORES HUAYLINOS ROMULO OMAR,active
735,1251 PERUANO SUIZO,291848,1066026,secundaria,EBR,ATE,10,FERNANDEZ DAVILA RAQUEL,active
736,1254 MARIA REICHE NEWMANN,291891,1074509,secundaria,EBR,ATE,6,ARTEAGA MATOS MANUEL JESUS,active
737,EBEN EZER,298454,1074939,inicial_jard_n,EBR,CHACLACAYO,SIN REI,BALBIN ONOFRE CARMEN LUISA,active
738,SANTA MARIA DE LOS ANGELES,307585,1075266,inicial_jard_n,EBR,LA MOLINA,SIN REI,MANSILLA SANTIAGO HILDA GRIMANEZA,active
739,SANTA MARIA VIRGEN DE LA CARIDAD,292701,1075696,inicial_jard_n,EBR,ATE,SIN REI,LESCANO PARDO HECTOR ALBERTO,active
740,LIMA INTERNATIONAL SCHOOL OF TOMORROW,308410,0911081,primaria,EBR,LA MOLINA,SIN REI,LOPEZ MONTERO ELIZABETH,active
741,LIMA INTERNATIONAL SCHOOL OF TOMORROW,308410,0911206,secundaria,EBR,LA MOLINA,SIN REI,LOPEZ MONTERO ELIZABETH,active
742,JOHN DALTON,293946,1044684,inicial_jard_n,EBR,ATE,SIN REI,MALDONADO TAIPE HEDY GRACIELA,active
743,VIRGEN DEL CARMEN,339567,1044932,primaria,EBR,SANTA ANITA,SIN REI,MOLINA FUERTES VICTOR RAUL,active
744,MI PEQUEÑO HOGAR,293588,0864629,inicial_jard_n,EBR,ATE,SIN REI,GAVINO LINARES ANA SILVIA,active
745,ANDRES BELLO,719242,1045293,primaria,EBR,ATE,SIN REI,MONTALVO PALACIOS ZAIDA,active
746,JAVIER PRADO,294408,1046051,primaria,EBR,ATE,SIN REI,MOLINA PALOMINO YOLANDA,active
747,NUEVA GENERACION,294366,0864777,inicial_jard_n,EBR,ATE,SIN REI,TOVAR PEREZ HERMINIO,active
748,CORAZON DE MARIA,307849,1041169,inicial_jard_n,EBR,LA MOLINA,SIN REI,ESQUIVEL CORNEJO EULALIA ELEANA,active
749,SAINT JOSEPH SCHOOL,294272,1188382,secundaria,EBR,ATE,SIN REI,MARTINEZ CASAS ROSA,active
750,SAN AGUSTIN,719614,1188580,inicial_jard_n,EBR,LURIGANCHO,SIN REI,LEON GALARZA WILLY HUMBERTO,active
751,GARCILASO,294564,1196823,secundaria,EBR,ATE,SIN REI,AGREDA OTAROLA PEDRO EINER,active
752,GARCILASO,294564,1196781,primaria,EBR,ATE,SIN REI,AGREDA OTAROLA PEDRO EINER,active
753,AVENTURAS,308212,1076496,inicial_cuna_jard_n,EBR,LA MOLINA,SIN REI,LEON LEON MARIA JOSE,active
754,SAN FRANCISCO DE ASIS,294639,1224799,primaria,EBR,ATE,SIN REI,ALARCON ALTAMIRANO FREDY HUGO,active
755,EBEN EZER,298454,1224872,primaria,EBR,CHACLACAYO,SIN REI,BALBIN ONOFRE CARMEN LUISA,active
756,JUAN XXIII,294644,1224955,inicial_jard_n,EBR,ATE,SIN REI,ORTIZ LLANOS ANA MARGARITA,active
757,ALTER CHRISTUS,314656,1224997,secundaria,EBR,LURIGANCHO,SIN REI,ROMAN CRUZ EUCARIO HECTOR,active
758,HOWARD SCHOOL ATE,307873,1225077,secundaria,EBR,LA MOLINA,SIN REI,BRAVO CAMARENA VDA. DE LAZARO ISABEL MILAGRITOS,active
759,SAN JUAN BOSCO,293244,1225150,inicial_jard_n,EBR,ATE,SIN REI,CASTRO MONCADA MARIA JESUS,active
760,JAVIER PRADO,294408,1225192,inicial_jard_n,EBR,ATE,SIN REI,MOLINA PALOMINO YOLANDA,active
761,LEONARDO DE VINCI,294738,1243864,primaria,EBR,ATE,SIN REI,VALENCIA GINES JULIO CESAR,active
762,DOMINGO SAVIO,293423,1243666,secundaria,EBR,ATE,SIN REI,LAURA ALFARO MARIA TERESA,active
763,DEUNI,314755,1243781,secundaria,EBR,LURIGANCHO,SIN REI,HUAYLINOS ANTEZANO FELIPE EMILIO,active
764,LA INMACULADA,293507,1243146,secundaria,EBR,ATE,SIN REI,CRUZ MENDOZA REINE,active
765,EL BUEN PASTOR,909770,1188341,secundaria,EBR,LURIGANCHO,SIN REI,CAMPOS MACEDO MARIBEL NADIA,active
766,6039 FERNANDO CARBAJAL SEGURA,292678,1056498,inicial_jard_n,EBR,ATE,3,ARANDA BRONCANO ROUSSEAU CLAPAREDY,active
767,6039 FERNANDO CARBAJAL SEGURA,292678,0502484,secundaria,EBR,ATE,3,ARANDA BRONCANO ROUSSEAU CLAPAREDY,active
768,6039 FERNANDO CARBAJAL SEGURA,292678,0328153,primaria,EBR,ATE,3,ARANDA BRONCANO ROUSSEAU CLAPAREDY,active
769,6039 FERNANDO CARBAJAL SEGURA,292678,0643098,b_sica_alternativa_inicial_e_intermedio,EBR,ATE,SIN REI,ARANDA BRONCANO ROUSSEAU CLAPAREDY,active
770,6039 FERNANDO CARBAJAL SEGURA,292678,0643106,b_sica_alternativa_avanzado,EBR,ATE,SIN REI,ARANDA BRONCANO ROUSSEAU CLAPAREDY,active
771,ALPAMAYO,294795,0704536,primaria,EBR,ATE,SIN REI,FORLIN STRUQUE RENZO LUIGI,active
772,ANTONIO RAIMONDI,307627,0333583,primaria,EBR,LA MOLINA,SIN REI,SABA CAFFERATA FARUZ JOSELLIN,active
773,NIÑO JESUS DE LOS ANGELES,294757,1244466,inicial_jard_n,EBR,ATE,SIN REI,REYES VILLARROEL JESICA SHUJEI,active
774,1286 HEROES DEL CENEPA,307383,1242908,secundaria,EBR,LA MOLINA,2,HONOR ANDIA JULIA KATERINE,active
775,JESUS DE NAZARETH,314779,1253038,primaria,EBR,LURIGANCHO,SIN REI,ESPINOZA HUARCAYA LOURDES,active
776,LEONARDO DE VINCI,294738,1243823,inicial_jard_n,EBR,ATE,SIN REI,VALENCIA GINES JULIO CESAR,active
777,JESUS DE NAZARETH,314779,1252998,inicial_jard_n,EBR,LURIGANCHO,SIN REI,ESPINOZA HUARCAYA LOURDES,active
778,INCA GARCILASO DE LA VEGA,292824,1223635,b_sica_alternativa_inicial_e_intermedio,EBR,ATE,SIN REI,BACON TERRONES RICHAR ELI,active
779,MODERNO,293786,1243948,secundaria,EBR,ATE,SIN REI,PORRAS PARIONA RIGOBERTO,active
780,ANTONIO RAIMONDI,307627,0336685,secundaria,EBR,LA MOLINA,SIN REI,SABA CAFFERATA FARUZ JOSELLIN,active
781,TRILCE DE LA MOLINA,308486,1244227,secundaria,EBR,LA MOLINA,SIN REI,ZARRIA LEON MIROSLAVA ARACELLI,active
782,LEONARDO DE VINCI,294738,1243906,secundaria,EBR,ATE,SIN REI,VALENCIA GINES JULIO CESAR,active
783,MARIA DE LAS MERCEDES DE SALAMANCA,854715,1244029,secundaria,EBR,ATE,SIN REI,LUNA FLORES JORGE ADALBERTO,active
784,ALPAMAYO,294795,1056720,secundaria,EBR,ATE,SIN REI,FORLIN STRUQUE RENZO LUIGI,active
785,KARL FRIEDRICH GAUSS,294762,1244508,inicial_jard_n,EBR,ATE,SIN REI,MONAGO MAURICIO MOISES,active
786,SANTA FORTUNATA,293828,1253152,primaria,EBR,ATE,SIN REI,BLUA RUIZ MARTA VIVIANA,active
787,KARL FRIEDRICH GAUSS,294762,1253079,primaria,EBR,ATE,SIN REI,MONAGO MAURICIO MOISES,active
788,JACQUES COUSTEAU,308448,1243062,primaria,EBR,LA MOLINA,SIN REI,OLIVOS RODRIGUEZ MARIELLA DEL ROSARIO,active
789,JACQUES COUSTEAU,308448,1243104,secundaria,EBR,LA MOLINA,SIN REI,OLIVOS RODRIGUEZ MARIELLA DEL ROSARIO,active
790,SAN ANTONIO DE PADUA,294663,1225317,primaria,EBR,ATE,SIN REI,RAMIREZ SANCHEZ GLORIA EULALIA,active
791,SAN ANTONIO DE ABAD,294677,1242460,primaria,EBR,ATE,SIN REI,JAPAY ZAVALA SANTAS ANGELICA,active
792,LOS PORTALES DEL SABER,294682,1242585,primaria,EBR,ATE,SIN REI,PECHO OJEDA DANIEL,active
