"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"ANGELITOS DE MARIA","339280","1324151","primaria","EBR","SANTA ANITA","SIN REI","REYES JIMENEZ NORMA","active"
"MUNDO MAGICO","294432","1325505","primaria","EBR","ATE","SIN REI","RIVERA RICAPA DANILO BALCACER","active"
"PABLO PATRON","314171","1325513","primaria","EBR","LURIGANCHO","19","FLORES HUAYLINOS ROMULO OMAR","active"
"SANTA VICTORIA","436549","1326750","inicial_jardin","EBR","ATE","SIN REI","MERINO CASTILLA ELIZABETH","active"
"MISIONERAS DE LA NIÑEZ","466008","1327477","inicial_jardin","EBR","LURIGANCHO","SIN REI","ZABALA RUEDA MARIA PIEDAD","active"
"LE'Z GO KINDER","487242","1329069","inicial_cuna_jardin","EBR","LA MOLINA","SIN REI","RICAPA COLQUI MAGDALENA MARIA","active"
"BRUNO TERREROS","487256","1329077","inicial_jardin","EBR","LURIGANCHO","SIN REI","REYES ARISTIZABAL SILVIA HAYDEE","active"
"VILLA UNION","506127","1331297","inicial_jardin","EBR","ATE","SIN REI","RAMIREZ PANTOJA MARIBEL AMPARO","active"
"BOSTON HIGH SCHOOL","506245","1331305","primaria","EBR","ATE","SIN REI","TORRES JACOBO JUAN JORGE","active"
"1198 LA RIBERA","314067","1332220","secundaria","EBR","LURIGANCHO","19","VIDELA FLORES EDGAR","active"
"CRISTIANO DE CIENEGUILLA","507080","1332386","inicial_jardin","EBR","CIENEGUILLA","SIN REI","ARREDONDO FLORES MARIA ROSARIO","active"
"LAS ESTRELLAS DE JESUS","507532","1332683","inicial_jardin","EBR","LURIGANCHO","SIN REI","JULCA MORALES KARIM EVELYN","active"
"JEAN PIAGET","857752","1332857","primaria","EBR","ATE","SIN REI","BELLIDO CHUCHON ORLANDO FRANCISCO","active"
"LAS ESTRELLAS DE JESUS","507532","1332865","primaria","EBR","LURIGANCHO","SIN REI","JULCA MORALES KARIM EVELYN","active"
"SAN LORENZO II","507947","1335520","inicial_jardin","EBR","ATE","SIN REI","FIGUEROA LEANDRO MANUEL ANTONIO","active"
"SAN LORENZO II","507947","1335538","primaria","EBR","ATE","SIN REI","FIGUEROA LEANDRO MANUEL ANTONIO","active"
"SAN LORENZO II","507947","1335546","secundaria","EBR","ATE","SIN REI","FIGUEROA LEANDRO MANUEL ANTONIO","active"
"CAMINITOS DEL SABER","512213","1341437","inicial_jardin","EBR","CIENEGUILLA","SIN REI","HERNANDEZ CHUCAN GRACIELA","active"
"PAMER SALAMANCA","720330","1341452","primaria","EBR","ATE","SIN REI","DE LA CRUZ GARCIA ANGELA MARIA","active"
"FRATERNIDAD AMERICANA","512232","1341460","inicial_jardin","EBR","ATE","SIN REI","EVANGELISTA RICCI MARIA PATRICIA","active"
"FRATERNIDAD AMERICANA","512232","1341478","primaria","EBR","ATE","SIN REI","EVANGELISTA RICCI MARIA PATRICIA","active"
"HOWARD GARDNER SCHOOL","848121","1342534","inicial_jardin","EBR","ATE","SIN REI","CALDAS TORRES LOIDA SABY","active"
"PADRE MIGUEL MARINA","517338","1347798","primaria","EBR","LURIGANCHO","15","MARTINEZ BARRIENTOS EDUARDO WILLIAM","active"
"DIVINA PROVIDENCIA","292720","1350263","primaria","EBR","ATE","SIN REI","CASTILLO IZQUIERDO SANDRA VIVIANA","active"
"VON NEUMANN","521222","1352988","inicial_jardin","EBR","ATE","SIN REI","RODRIGUEZ CULLANCO EDWIN","active"
"JESUS LUZ DEL SABER","293055","1353002","primaria","EBR","ATE","SIN REI","PARHUANA PAREDES HILDA YOLANDA","active"
"MUNDO KIDS","818138","1353101","inicial_jardin","EBR","ATE","SIN REI","DE LA CRUZ LAVADO ELENA","active"
"CIENTIFICOS UNI","522797","1354828","inicial_jardin","EBR","ATE","SIN REI","OBISPO TAIPE MARGARITA JULIA","active"
"VIRGEN DE LA ASUNCION","293649","1355213","secundaria","EBR","ATE","SIN REI","CARY PINTO GLADYS AMELIA","active"
"PAUL MAURICIO DIRAC","523730","1355452","primaria","EBR","LURIGANCHO","SIN REI","MAURICIO ALFARO ESTELITA","active"
"NEW JEAN PIAGET COLLEGE","718959","1355478","secundaria","EBR","LA MOLINA","SIN REI","ARENAS VELASQUEZ PABLO HUMBERTO","active"
"THALES DE MILETO","523971","1356989","inicial_jardin","EBR","ATE","SIN REI","VILCHEZ CHACON ANTENOR JOSE","active"
"THALES DE MILETO","523971","1357078","primaria","EBR","ATE","SIN REI","VILCHEZ CHACON ANTENOR JOSE","active"
"MIS PASITOS","523985","1357086","inicial_jardin","EBR","ATE","SIN REI","LOBATON BERNUY MARIA CECILIA","active"
"PAUL MAURICIO DIRAC","523730","1357599","secundaria","EBR","LURIGANCHO","SIN REI","MAURICIO ALFARO ESTELITA","active"
"WILLIAM SHAKESPEARE DE CARAPONGO","525164","1358910","inicial_jardin","EBR","LURIGANCHO","SIN REI","VERGARA IGLESIAS ERLITA MEDALY","active"
"WILLIAM SHAKESPEARE DE CARAPONGO","525164","1358928","primaria","EBR","LURIGANCHO","SIN REI","VERGARA IGLESIAS ERLITA MEDALY","active"
"WILLIAM SHAKESPEARE DE CARAPONGO","525164","1358936","secundaria","EBR","LURIGANCHO","SIN REI","VERGARA IGLESIAS ERLITA MEDALY","active"
"TERRA ENCANTADA","525296","1358944","inicial_jardin","EBR","LA MOLINA","SIN REI","PERALTA OCAÑA IRIS CAROLINA","active"
"DIVINO JESUS","525300","1358951","inicial_jardin","EBR","ATE","SIN REI","MANRIQUE PICHU NORMINHNA KARIN","active"
"1227 INDIRA GANDHI","292367","1359868","secundaria","EBA","ATE","SIN REI","FLORIAN POMA HUARCAYA","active"
"1278 LA MOLINA","307528","1359876","secundaria","EBA","LA MOLINA","SIN REI","HONORIO JARA PAULINA","active"
"FELIPE SANTIAGO ESTENOS","298053","1359884","primaria","EBA","CHACLACAYO","SIN REI","RIVERA PANDURO JUAN CARLOS","active"
"EDELMIRA DEL PANDO","292013","1359892","primaria","EBA","ATE","SIN REI","ROCA NUÑEZ JORGE FELIX","active"
"DIVINO SAN PEDRO","525606","1361245","inicial_jardin","EBR","LURIGANCHO","SIN REI","QUISPE SIMON DELFINA JESUS","active"
"DIVINO SAN PEDRO","525606","1361252","primaria","EBR","LURIGANCHO","SIN REI","QUISPE SIMON DELFINA JESUS","active"
"PACIFICO","721990","1361815","secundaria","EBR","ATE","SIN REI","YNDIGOYEN ANTEZANA SUSY NORA","active"
"VANGUARDIA ESTUDIANTIL","526955","1362185","inicial_jardin","EBR","ATE","SIN REI","CARDENAS MESAGEL CARMEN JESSICA","active"
"VANGUARDIA ESTUDIANTIL","526955","1362193","primaria","EBR","ATE","SIN REI","CARDENAS MESAGEL CARMEN JESSICA","active"
"SANTIAGO APOSTOL EL MAYOR","526941","1362201","inicial_jardin","EBR","ATE","SIN REI","AVALOS ALCARRAZ MARIA INES","active"
"SANTIAGO APOSTOL EL MAYOR","526941","1362219","primaria","EBR","ATE","SIN REI","AVALOS ALCARRAZ MARIA INES","active"
"SAN PATRICIO","721914","1362227","secundaria","EBR","SANTA ANITA","SIN REI","ALFARO HUATUCO MIRIAM GLORIA","active"
"MARTIR OLAYA","527870","1363779","primaria","EBR","ATE","SIN REI","MEZA ALIAGA VILMA ROSARIO","active"
"HARVARD","720778","1363894","secundaria","EBR","ATE","SIN REI","PEREZ GRANADOS SAMUEL JOSUE","active"
"FE Y ALEGRIA 58 MARY WARD","720504","1364264","secundaria","EBR","LURIGANCHO","15","QUISPE CCOLLANA GUILLERMINA","active"
"NEW SCHOOL CORPORACION ISAAC NEWTON","527969","1364520","inicial_jardin","EBR","LURIGANCHO","SIN REI","LORA CUBAS MANUEL SEBASTIAN","active"
"NEW SCHOOL CORPORACION ISAAC NEWTON","527969","1364538","primaria","EBR","LURIGANCHO","SIN REI","LORA CUBAS MANUEL SEBASTIAN","active"
"CIENTIFICO MATEMATICO CIRCULO GALOIS","530014","1367432","primaria","EBR","ATE","SIN REI","COCHACHIN ROSALES WALTER NAZARIO","active"
"CIENTIFICO MATEMATICO CIRCULO GALOIS","530014","1367440","secundaria","EBR","ATE","SIN REI","COCHACHIN ROSALES WALTER NAZARIO","active"
"SANTA LUISA DE MARILLAC II","819963","1370931","primaria","EBR","ATE","SIN REI","VEGA MARIÑO JUAN CARLOS","active"
"SANTA LUISA DE MARILLAC II","819963","1370949","secundaria","EBR","ATE","SIN REI","VEGA MARIÑO JUAN CARLOS","active"
"ECOLOGICO HAPPY CHILDREN","533055","1370956","inicial_jardin","EBR","ATE","SIN REI","ALHUA VELIZ PILAR YRIS","active"
"WINNER SCHOOL","721792","1370964","primaria","EBR","LURIGANCHO","SIN REI","LORAYCO CHACON CLARA MILAGRO","active"
"VIRGEN DE COCHARCAS DE VALDIVIEZO","533079","1370980","inicial_jardin","EBR","ATE","SIN REI","ARAMBURU ESPINOZA MARGOTT","active"
"CAMINITOS DEL SABER","512213","1373554","primaria","EBR","CIENEGUILLA","SIN REI","HERNANDEZ CHUCAN GRACIELA","active"
"FEELING GOOD","535295","1373570","inicial_jardin","EBR","LA MOLINA","SIN REI","FIDEL FLORES GUADALUPE CATALINA","active"
"CRUZ SACO DE CARAPONGO","253243","1375252","secundaria","EBR","LURIGANCHO","SIN REI","YANTAS LEON JAIME ROLANDO","active"
"HIMALAYA","721768","1375260","secundaria","EBR","LA MOLINA","SIN REI","DURANTE REPETTO ROCIO DEL PILAR","active"
"MARIA AUXILIADORA","314736","1375278","inicial_jardin","EBR","LURIGANCHO","SIN REI","BRAVO GUERRA PAOLA ARMINDA","active"
"SANTA MARIA LLENA DE GRACIA","536191","1375286","inicial_jardin","EBR","LURIGANCHO","SIN REI","LAZO ROMAN GEORGINA ELIDER","active"
"BRUNO TERREROS","487256","1376904","primaria","EBR","LURIGANCHO","SIN REI","REYES ARISTIZABAL SILVIA HAYDEE","active"
"INMACULADA CORAZON DE MARIA","539236","1377654","inicial_jardin","EBR","LURIGANCHO","SIN REI","ENCARNACION CONTRERAS MALVINA","active"
"INMACULADA CORAZON DE MARIA","539236","1377662","primaria","EBR","LURIGANCHO","SIN REI","ENCARNACION CONTRERAS MALVINA","active"
"JACQUELINE","539241","1377670","tecnico_productiva","EBR","ATE","SIN REI","VILCHEZ HUAMAN WILLIAM LEONARDO","active"
"LA ROCA","314576","1377688","secundaria","EBR","LURIGANCHO","SIN REI","BARRERA ARHUIS MAGALLY ELISA","active"
"SANTA ROSA DE HUACHIPA","539255","1377696","inicial_jardin","EBR","LURIGANCHO","SIN REI","PORRAS CORNEJO ROSA ISABEL","active"
"SANTA ROSA DE HUACHIPA","539255","1377704","primaria","EBR","LURIGANCHO","SIN REI","PORRAS CORNEJO ROSA ISABEL","active"
"SACERDOTE JESUITA ROMEO","539316","1377779","inicial_jardin","EBR","LURIGANCHO","SIN REI","GALARZA GILIAN WILLIAM JAIME","active"
"SANTISIMA MARIA AUXILIADORA","573046","1383496","inicial_jardin","EBR","SANTA ANITA","SIN REI","ROSALES PACHECO MARCO ANTONIO","active"
"CESAR VALLEJO DE LAS PRADERAS","540904","1384650","inicial_jardin","EBR","SANTA ANITA","SIN REI","HUANCA BRAVO HERNAN","active"
"CESAR VALLEJO DE LAS PRADERAS","540904","1384668","primaria","EBR","SANTA ANITA","SIN REI","HUANCA BRAVO HERNAN","active"
"CESAR VALLEJO DE LAS PRADERAS","540904","1384676","secundaria","EBR","SANTA ANITA","SIN REI","HUANCA BRAVO HERNAN","active"
"BENJAMIN FRANKLIN","544978","1389618","primaria","EBR","SANTA ANITA","SIN REI","VELASQUEZ ANGLES ELSA ROSARIO","active"
"BENJAMIN FRANKLIN","544978","1389626","inicial_jardin","EBR","SANTA ANITA","SIN REI","VELASQUEZ ANGLES ELSA ROSARIO","active"
"CRISTO ES EL CAMINO","544983","1389634","primaria","EBR","ATE","SIN REI","MARTEL FARFAN SONIA BETY","active"
"DIEGUITO THOMSON","785487","1389642","inicial_jardin","EBR","ATE","SIN REI","ABARCA RODRIGUEZ DE HERRERA CARMEN BETTY","active"
"STAR KIDS","548405","1391531","inicial_jardin","EBR","LA MOLINA","SIN REI","LEIVA BALLIVIAN CATHERINE ELIZABETH","active"
"HAPPY DAYS DE SAN ANTONIO DE CARAPONGO","548410","1391549","inicial_jardin","EBR","LURIGANCHO","SIN REI","AGUIRRE QUISPE PATRICIA CARMEN","active"
"NUESTRA SEÑORA DEL CARMEN","548504","1391689","inicial_jardin","EBR","LURIGANCHO","SIN REI","GUTIERREZ QUISPE CELIA YVONNE","active"
"TECHNOLOGY SCHOOLS METROPOLITANA","549221","1392802","primaria","EBR","ATE","SIN REI","SANCHEZ JULCA ANTONIO","active"
"TECHNOLOGY SCHOOLS METROPOLITANA","549221","1392810","secundaria","EBR","ATE","SIN REI","SANCHEZ JULCA ANTONIO","active"
"TECHNOLOGY SCHOOLS DE SANTA ANITA","549235","1392828","primaria","EBR","SANTA ANITA","SIN REI","PONCE MEZA MARITZA MARISOL","active"
"TECHNOLOGY SCHOOLS DE SANTA ANITA","549235","1392836","secundaria","EBR","SANTA ANITA","SIN REI","PONCE MEZA MARITZA MARISOL","active"
"STAN MAKLAN COLLEGE","721264","1392844","primaria","EBR","ATE","SIN REI","ANDIA CARDENAS MANUEL","active"
"DORADO SCHOOL","552893","1395615","inicial_jardin","EBR","SANTA ANITA","SIN REI","CABRERA SALVATIERRA LUCIA SABINA","active"
"DORADO SCHOOL","552893","1395623","primaria","EBR","SANTA ANITA","SIN REI","CABRERA SALVATIERRA LUCIA SABINA","active"
"1207 SAGRADO CORAZON DE JESUS","307415","1398148","secundaria","EBR","LA MOLINA","2","SEGOVIA JUAREZ SOLEDAD CRISTINA","active"
"ARCANGELES Y QUERUBINES","851496","1398155","inicial_jardin","EBR","SANTA ANITA","SIN REI","HUAMANÑAHUI ORTIZ MARLENY","active"
"RAYITOS DE CLARIDAD","554123","1398171","inicial_jardin","EBR","SANTA ANITA","SIN REI","CASTILLO OCHOA BEATRIZ EUGENIA","active"
"HOWARD GARDNER","554118","1399096","primaria","EBR","ATE","SIN REI","RONCEROS GONZALES CARMEN ROSA","active"
"ANDINO","718515","1399898","secundaria","EBR","ATE","SIN REI","SALVADOR FRANCIA VICTOR RICARDO","active"
"EMILIA BARCIA BONIFATTI DE SANTA ANITA","751114","1399906","inicial_jardin","EBR","SANTA ANITA","SIN REI","TORPOCO HUAYTA JOSE CARLOS","active"
"EMILIA BARCIA BONIFATTI DE SANTA ANITA","751114","1399914","primaria","EBR","SANTA ANITA","SIN REI","TORPOCO HUAYTA JOSE CARLOS","active"
"GLORIOSO MARISCAL CACERES","554967","1399922","secundaria","EBR","ATE","SIN REI","SALINAS HUAMANI MURPHY","active"
"MI MUNDO FELIZ DE CHACLACAYO","809681","1399930","inicial_jardin","EBR","CHACLACAYO","SIN REI","FERREYRA CABREJOS YOLANDA ALEJANDRA","active"
"SAN CRISTOBAL DE MONTEROSA","554986","1399948","inicial_jardin","EBR","ATE","SIN REI","SOTO MEDINA RINA GIULIANA","active"
"SAINT GERARD SCHOOL","839065","1399955","inicial_jardin","EBR","LURIGANCHO","SIN REI","MEDRANO MINAYA GLADYS CLARIZA","active"
"SAN CRISTOBAL DE MONTEROSA","554986","1401504","primaria","EBR","ATE","SIN REI","SOTO MEDINA RINA GIULIANA","active"
"LOS PASTORCITOS DE FATIMA","556184","1402072","inicial_jardin","EBR","ATE","SIN REI","LIZANA SULCA JUAN JOSE","active"
"EL TUNGSTENO","721301","1403799","secundaria","EBR","ATE","SIN REI","SOSA CHAMORRO ARELYS BALDRAMINA","active"
"MASTER CIENCIAS","624084","1404904","inicial_jardin","EBR","ATE","SIN REI","ROMERO LINO CARLOS ALFONSO","active"
"MASTER CIENCIAS","624084","1404912","primaria","EBR","ATE","SIN REI","ROMERO LINO CARLOS ALFONSO","active"
"INTERNATIONAL CRISHTAN SCHOOL","558965","1405455","inicial_jardin","EBR","LA MOLINA","SIN REI","EGO AGUIRRE CENTENO KATHYA GABRIELA","active"
"MI PEQUEÑA SEMILLITA","558970","1405463","inicial_jardin","EBR","CIENEGUILLA","SIN REI","MATEO GUZMAN CECILIA JOHANNA","active"
"NIÑO GENIO","558989","1405471","primaria","EBR","ATE","SIN REI","PALACIOS SUAREZ RITA MERCEDES","active"
"NIÑO GENIO","558989","1405489","secundaria","EBR","ATE","SIN REI","PALACIOS SUAREZ RITA MERCEDES","active"
"MATER CRISTHIE","294578","1407345","primaria","EBR","ATE","SIN REI","RIVERA HUAYTALLA MARIA DEL ROSARIO","active"
"FRANCIS SCHAEFFER","564037","1413889","secundaria","EBR","ATE","SIN REI","PALOMINO CUTI NOEMI","active"
"LA MOLINA","564042","1413897","inicial_jardin","EBR","LA MOLINA","SIN REI","TORRES ASPILLAGA MARIA JESUS","active"
"RINCONADA","564056","1413905","inicial_cuna_jardin","EBR","LA MOLINA","SIN REI","YEPEZ SUAREZ NADIA LUZ","active"
"TRILCE DE SALAMANCA","564061","1413913","inicial_jardin","EBR","ATE","SIN REI","BRACAMONTE SOSA VERONICA ALEJANDRA","active"
"BEATITA TERESITA DE CALCUTA","565536","1416247","inicial_jardin","EBR","ATE","SIN REI","GARCIA RAMIREZ MARIBEL KEETHY","active"
"CRECE","721481","1416254","primaria","EBR","LURIGANCHO","SIN REI","QUISPE COTACALLAPA FEDERICO","active"
"MARIA REINA DE LOS APOSTOLES","294535","1416262","inicial_jardin","EBR","ATE","SIN REI","FELICES CAMARGO PRISCILA ROSSEMERY","active"
"DEUNI KINDER KIDS","567210","1417898","inicial_jardin","EBR","LURIGANCHO","SIN REI","BARTOLOME HUAMAN ALICIA","active"
"DEUNI KINDER KIDS","567210","1417906","primaria","EBR","LURIGANCHO","SIN REI","BARTOLOME HUAMAN ALICIA","active"
"ECOTUR","753957","1423094","tecnico_productiva","EBR","LA MOLINA","SIN REI","VILLAMARES AJALCRINA RONALD","active"
"LEONARD EULER DE VALDIVIESO","571740","1423102","secundaria","EBR","ATE","SIN REI","CUSI RUIZ JAVIER ANDRES","active"
"MARIA REINA MARIANISTA","571759","1423128","inicial_jardin","EBR","ATE","SIN REI","ORELLANA VILLALOBOS DORIS AMPARO","active"
"MARIA REINA MARIANISTA","571759","1423136","primaria","EBR","ATE","SIN REI","ORELLANA VILLALOBOS DORIS AMPARO","active"
"COAR COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU","572396","1423615","secundaria","EBR","LURIGANCHO","16","JULCA CHUQUISTA EDGAR MOISES","active"
"ABEJITAS TRABAJADORAS","573027","1431634","inicial_jardin","EBR","ATE","SIN REI","MORENO ESPINAL RAQUEL","active"
"HERMANAS MISIONERAS DEL PERPETUO SOCORRO","722131","1431642","primaria","EBR","ATE","SIN REI","ARROYO FLORES ROXANA","active"
"TECHNOLOGY SCHOOLS DE CHOSICA","573032","1431659","primaria","EBR","LURIGANCHO","SIN REI","ZEGARRA CHAVARRIA JOSE ALFREDO","active"
"TECHNOLOGY SCHOOLS DE CHOSICA","573032","1431667","secundaria","EBR","LURIGANCHO","SIN REI","ZEGARRA CHAVARRIA JOSE ALFREDO","active"
"SACERDOTE JESUITA ROMEO","539316","1431675","primaria","EBR","LURIGANCHO","SIN REI","GALARZA GILIAN WILLIAM JAIME","active"
"MUNDO MEJOR","574550","1432574","primaria","EBR","ATE","SIN REI","LI JIMENEZ GLORIA ESTHER","active"
"TECHNOLOGY SCHOOLS","574772","1433093","inicial_jardin","EBR","ATE","SIN REI","TELLO CHUMBERIZA HUMBERTO OCEAS","active"
"TECHNOLOGY SCHOOLS","574772","1433101","primaria","EBR","ATE","SIN REI","TELLO CHUMBERIZA HUMBERTO OCEAS","active"
"THALES DE VITARTE","846320","1433127","inicial_jardin","EBR","ATE","SIN REI","ROJAS EVANGELISTA MERCEDES","active"
"LA CATOLICA DE CARAPONGO","575069","1433432","inicial_jardin","EBR","LURIGANCHO","SIN REI","CAMPOS SALVATIERRA ORLANDO","active"
"LA CATOLICA DE CARAPONGO","575069","1433440","primaria","EBR","LURIGANCHO","SIN REI","CAMPOS SALVATIERRA ORLANDO","active"
"SANTA ROSA DE HUACHIPA","539255","1433457","secundaria","EBR","LURIGANCHO","SIN REI","PORRAS CORNEJO ROSA ISABEL","active"
"VIRGEN DE LA PUERTA","849489","1433465","primaria","EBR","LURIGANCHO","SIN REI","TINEO PALOMINO FELICITA","active"
"TECHNOLOGY SCHOOLS DE LOS FICUS II","372043","1435452","inicial_jardin","EBR","SANTA ANITA","SIN REI","LIGAN HUAMAN NALDA ROCIO","active"
"DISCOVERY","577544","1435890","primaria","EBR","ATE","SIN REI","BARRANTES ZELADA JOSE LUIS","active"
"DISCOVERY","577544","1435908","secundaria","EBR","ATE","SIN REI","BARRANTES ZELADA JOSE LUIS","active"
"CRECIENDO CON JESUS","577558","1435924","primaria","EBR","ATE","SIN REI","PAREDES PORTELLA ROCÍO DEL PILAR","active"
"SAN PIO DE PIETRELCINA","577563","1435932","inicial_jardin","EBR","LURIGANCHO","SIN REI","ZABALA RUEDA MARIA PIEDAD","active"
"GAUSS COLLEGE","581517","1441260","secundaria","EBR","LURIGANCHO","SIN REI","VISALOT GONZALES WALTER MANUEL","active"
"GUSTAVO PONS MUZZO","581522","1441278","inicial_jardin","EBR","SANTA ANITA","SIN REI","HUAMAN RIVERA ADAMO HENRY","active"
"GUSTAVO PONS MUZZO","581522","1441286","primaria","EBR","SANTA ANITA","SIN REI","HUAMAN RIVERA ADAMO HENRY","active"
"APRENDO CREANDO SCHOOL","581536","1441294","primaria","EBR","ATE","SIN REI","PAHUARA MUÑOZ EDITH GISELA","active"
"LUZ DE LA ESPERANZA","581541","1441302","primaria","EBR","ATE","SIN REI","VELASQUEZ GAMARRA CLEOFE EMELDA","active"
"SAN AGUSTIN DE LA MOLINA","308274","1441310","secundaria","EBR","LA MOLINA","SIN REI","LEDESMA BENITES LUZ CARMELA","active"
"SEMILLITA DEL SABER","585134","1452259","inicial_jardin","EBR","ATE","SIN REI","DAVILA ROSALES ELVINA ALINA","active"
"MI CASITA BLANCA","585148","1452473","inicial_jardin","EBR","ATE","SIN REI","GUEVARA REBATA NORA ELVA","active"
"DHIGZA - TRONIC","585167","1452499","tecnico_productiva","EBR","ATE","SIN REI","CHIRINOS ARMAS DANIEL RAMON","active"
"CRISTO REDENTOR - LA GLORIA","585365","1452770","inicial_jardin","EBR","ATE","SIN REI","GUTIERREZ LEVANO LUCIA ESTELA","active"
"LAS AMERICAS DE ATE","720373","1452788","secundaria","EBR","ATE","SIN REI","SARMIENTO GARAY SALES","active"
"KOREB SCHOOL","585370","1452796","inicial_jardin","EBR","LURIGANCHO","SIN REI","CONDO HUISA ROSALBINA","active"
"KOREB SCHOOL","585370","1452804","primaria","EBR","LURIGANCHO","SIN REI","CONDO HUISA ROSALBINA","active"
"KOREB SCHOOL","585370","1452812","secundaria","EBR","LURIGANCHO","SIN REI","CONDO HUISA ROSALBINA","active"
"SAN MARCOS SCHOOL DEM","585389","1452820","inicial_jardin","EBR","SANTA ANITA","SIN REI","RODRIGUEZ FAUSTINO HERMINIA","active"
"TESORITOS DE DIOS","585394","1452838","inicial_jardin","EBR","ATE","SIN REI","ALIAGA GALVAN ANGIELINA JESSICA","active"
"PERU CATOLICA VITARTE","586138","1453778","tecnico_productiva","EBR","ATE","SIN REI","VILLALOBOS RANGEL SUSANA CARMEN","active"
"DULCE CORAZON DE JESUS","588509","1457241","inicial_jardin","EBR","SANTA ANITA","SIN REI","LOPEZ CARRASCO KAREN SOCORRO","active"
"SINAI","339256","1457258","secundaria","EBR","SANTA ANITA","SIN REI","MUQUILLAZA ROCA MELITON","active"
"ADELISES","589165","1458009","primaria","EBR","ATE","SIN REI","LEON VARGAS PEDRO ANTONIO","active"
"BENJAMIN FRANKLIN","544978","1458017","secundaria","EBR","SANTA ANITA","SIN REI","VELASQUEZ ANGLES ELSA ROSARIO","active"
"ALFONSO COBIAN","371449","1463892","inicial_jardin","EBR","CHACLACAYO","SIN REI","LOPEZ MENDOZA DOMINGO","active"
"ALFONSO COBIAN","371449","1463900","secundaria","EBR","CHACLACAYO","SIN REI","LOPEZ MENDOZA DOMINGO","active"
"PARADISE INTERNATIONAL COLLEGE","590526","1463918","inicial_jardin","EBR","LA MOLINA","SIN REI","MIRANDA CHÁVEZ MAURO HÁMILTÓN","active"
"MARTINEZ","591427","1464775","tecnico_productiva","EBR","ATE","SIN REI","MAURICIO RARAZ RAFAEL","active"
"SANTIAGO ANTUNEZ DE MAYOLO","591984","1465855","inicial_jardin","EBR","LURIGANCHO","SIN REI","CACERES RIVERA NORMA AMANDA","active"
"SANTIAGO ANTUNEZ DE MAYOLO","591984","1465863","primaria","EBR","LURIGANCHO","SIN REI","CACERES RIVERA NORMA AMANDA","active"
"TRENTO ATE","592002","1465889","secundaria","EBR","ATE","SIN REI","MORI PONCE MARIA","active"
"SANTA TERESA DE CALCUTA DE ATE","592592","1466408","inicial_jardin","EBR","ATE","SIN REI","CANALES MOLINA MIRO CARMEN","active"
"SANTA TERESA DE CALCUTA DE ATE","592592","1466416","primaria","EBR","ATE","SIN REI","CANALES MOLINA MIRO CARMEN","active"
"ALTERNATIVO CARMELITAS","402573","1466580","secundaria","EBR","LURIGANCHO","SIN REI","REYNA GAMARRA NICOLAS HIPOLITO","active"
"SANTA MARIA DE JESUS","596279","1467968","secundaria","EBR","SANTA ANITA","SIN REI","GUTIERREZ GARBOZA GREIS","active"
"MARAVILLOSAS GOTITAS DEL SABER","719968","1472265","primaria","EBR","ATE","SIN REI","TERRONES SOTO JUANA RICARDINA","active"
"NEW SCHOOL","602020","1472810","inicial_jardin","EBR","ATE","SIN REI","BENDEZU RUIZ OSCAR ALONZO","active"
"NEW SCHOOL","602020","1472828","primaria","EBR","ATE","SIN REI","BENDEZU RUIZ OSCAR ALONZO","active"
"NEW SCHOOL","602020","1472836","secundaria","EBR","ATE","SIN REI","BENDEZU RUIZ OSCAR ALONZO","active"
"AMERICA","293381","1472869","secundaria","EBR","ATE","SIN REI","MANDUJANO SALCEDO EMERSON LOWELL","active"
"KINDERGARTEN","605448","1494624","inicial_jardin","EBR","ATE","SIN REI","AGULAR GÜERE RAQUEL","active"
"PIRUETAS","605453","1494632","inicial_jardin","EBR","LA MOLINA","SIN REI","ROSAS PAUCARIMA SUSAN MARJORIE","active"
"SANTA CATALINA","294093","1494640","secundaria","EBR","ATE","SIN REI","SOLIS VIVAS ANIBAL ARTURO","active"
"VIÑA ALTA","605467","1494657","inicial_cuna_jardin","EBR","LA MOLINA","SIN REI","RAMOS MAMANI ESTELA HILDA","active"
"LUMEN DEI ITINERIS","401347","1502392","inicial_jardin","EBR","SANTA ANITA","SIN REI","SOLIER GONZALES GLADYS","active"
"LUMEN DEI ITINERIS","401347","1502400","primaria","EBR","SANTA ANITA","SIN REI","SOLIER GONZALES GLADYS","active"
"LA RICHI","721240","1502640","secundaria","EBA","LURIGANCHO","SIN REI","FERNANDEZ CAVERO ISMAEL ZENON","active"
"RED SCHOOL","860896","1503630","primaria","EBR","SANTA ANITA","SIN REI","SAMANIEGO CASTRO MARTHA LUZ","active"
"INTERNACIONAL ELIM - DATA SYSTEM","842987","1503721","tecnico_productiva","EBR","ATE","SIN REI","ESPIRITU RODRIGUEZ ANAMELBA GLORIA","active"
"ANGELITOS DE LA GUARDA","718563","1505270","inicial_jardin","EBR","ATE","SIN REI","SALVATIERRA VALDIVIESO NORA","active"
"RUBEN DARIO","718582","1505296","primaria","EBR","ATE","SIN REI","CHIRINOS ARROYO ROSA RUFINA","active"
"SANTA ELENA DE LOS NIÑOS","718596","1505304","primaria","EBR","ATE","SIN REI","SULCA CERDA ANA MARIA","active"
