"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"NUESTRA SEÑORA DEL ROSARIO DE FATIMA","298369","343616","secundaria","EBR","CHACLACAYO","SIN REI","OROZCO TICSE DIANA VERONICA","active"
"GOTITAS DE AMOR","3866984","3866984","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LA CAPITANA V","3866987","3866987","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"MI MUNDO FELIZ II","3866988","3866988","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LUZ DEL SABER","3866997","3866997","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"PEQUEÑOS ANGELES","3866998","3866998","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"BURBUJITAS TRAVIESAS","3866999","3866999","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SEMILLITAS DE JESUS","3867016","3867016","inicial_jardin","EBR","SANTA ANITA","SIN REI","NO REGISTRADO","active"
"AMIGUITOS DE JESUS","3867024","3867024","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MI PEQUEÑO MUNDO","3867034","3867034","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"03 DE OCTUBRE","3867036","3867036","inicial_jardin","EBR","CHACLACAYO","SIN REI","NO REGISTRADO","active"
"MIS HUELLITAS","3867040","3867040","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ANGELES DE JESUS","3867048","3867048","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"APRENDO JUGANDO","3867052","3867052","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"MIS PEQUEÑOS ARQUITECTOS I","3867053","3867053","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LAS SEMILLITAS DEL HUBERT","3867064","3867064","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ANGELITOS DE DIOS II","3867072","3867072","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LOS NIÑOS DE JESUS I","3867076","3867076","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LOS NIÑOS DE JESUS II","3867077","3867077","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"PEQUEÑOS EXPLORADORES","3867078","3867078","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"JUGANDO APRENDO","3867079","3867079","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LOS GIRASOLES","3867080","3867080","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ANGELITOS DE MARIA","3867086","3867086","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"JESUS ES MI GUIA A","3867093","3867093","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"NIÑOS DE JESUS","3867716","3867716","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SEÑOR DE LOS MILAGROS II","3868539","3868539","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SEMBRADOR","3891781","3891781","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"AMIGOS DE JESUS","3891783","3891783","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"RAYITOS DE LUZ","3891784","3891784","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LUCERITOS","3891786","3891786","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"RAYITOS DE SOL","3891789","3891789","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SEMILLLITAS II","3891795","3891795","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"MARIA DE LOS ANGELES","3891796","3891796","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LA CAPITANA I","3892503","3892503","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"HUERTOS DE HUACHIPA I","3892509","3892509","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SANTA ROSA I","3892511","3892511","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SANTA ROSA II","3892513","3892513","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LOS HUERTOS DE HUACHIPA II","3892514","3892514","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LA CAPITANA IV","3892518","3892518","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SAN FRANCISCO I","3892523","3892523","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"NIÑOS DE PARAISO","3892524","3892524","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"TESORO DE JESUS","3892540","3892540","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"SANTA ROSITA I","3892541","3892541","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"NIÑO DE JESUS","3892543","3892543","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ANGELITOS DE DIOS","3892545","3892545","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"SEMILLITA DEL SABER","3894195","3894195","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LA CAPITANA VI","3894826","3894826","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"LUIS BUENO QUINO","3894831","3894831","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
